"DATE_FORMAT(doc.date, ""%Y %m %d"")","nb","titre","titre"
"0000 00 00","1","100. Dédale des Vidéoséries","850. Potlatch (Saison 1, Épisode 10)"
"0000 00 00","1","60. Dédale des ombres","Barbe Bleue"
"0000 00 00","1","70. Dédale des paroles","Rock-Poème n ° 154756"
"0000 00 00","1","100. Dédale des Vidéoséries","1520. Ailleurs (Saison 1, Épisode 7)"
"2015 01 24","1","60. Dédale des ombres","Haute Tension (Monsieur Roman)"
"2015 02 02","1","30. Dédale des écrits","Les Carolingiens"
"2015 02 06","1","70. Dédale des paroles","Fukushima (version française 7)"
"2015 02 06","1","70. Dédale des paroles","Rock-Poème n ° 229436"
"2015 02 08","1","70. Dédale des paroles","Le plaisir (Bleus)"
"2015 02 09","1","20. Dédale des actes","Le poète se cherche"
"2015 02 09","1","20. Dédale des actes","Le président Mao (Opera Buffa)"
"2015 02 10","1","70. Dédale des paroles","Poème d'amour"
"2015 02 11","1","70. Dédale des paroles","La course"
"2015 02 12","1","60. Dédale des ombres","Sylvestre Saint-Loup : GreaTopArt"
"2015 02 12","1","20. Dédale des actes","La foule"
"2015 02 12","1","20. Dédale des actes","Fukushima (version française 6)"
"2015 02 12","1","20. Dédale des actes","Tu disais"
"2015 02 14","1","20. Dédale des actes","Poète-Poésie"
"2015 02 14","1","20. Dédale des actes","Le poète cherche la poésie"
"2015 02 14","1","20. Dédale des actes","Babel Poésie"
"2015 02 14","1","90. Dédale des traces","Barbe Bleue"
"2015 02 15","1","70. Dédale des paroles","Rock-Poème n° 13550"
"2015 02 15","1","20. Dédale des actes","Fukushima (version française 5)"
"2015 02 15","1","90. Dédale des traces","Color Voice"
"2015 02 16","1","20. Dédale des actes","Le Poète"
"2015 02 16","1","20. Dédale des actes","Rock-Poème n° 229436"
"2015 02 16","1","90. Dédale des traces","Performance ancienne"
"2015 02 16","1","90. Dédale des traces","Interdit aux moins de 16 ans"
"2015 02 20","1","70. Dédale des paroles","Rock-Poème n° 14776"
"2015 02 24","1","20. Dédale des actes","Poème érotique"
"2015 02 24","1","90. Dédale des traces","Petite présentation"
"2015 02 26","1","70. Dédale des paroles","Fukushima (version allemande)"
"2015 02 26","1","20. Dédale des actes","Interdit aux moins de 16 ans, lecture"
"2015 02 26","1","10. Dédale de l'inspiration","Rocks à volonté"
"2015 02 27","1","70. Dédale des paroles","Rock-Poème n° 0000001"
"2015 02 27","1","90. Dédale des traces","Trois Mythologies et un Poète Aveugle"
"2015 02 28","1","20. Dédale des actes","Le poète cherche encore la poésie"
"2015 02 28","1","90. Dédale des traces","L'Herbier (avec Miguel Chevalier)"
"2015 03 03","1","70. Dédale des paroles","Fukushima (version espagnole 2)"
"2015 03 03","1","20. Dédale des actes","Fukushima (version japonaise)"
"2015 03 05","1","70. Dédale des paroles","Rock-Poème n° 250267"
"2015 03 05","1","20. Dédale des actes","Le songe"
"2015 03 08","1","20. Dédale des actes","Rock-Poème n ° 147776"
"2015 03 10","1","70. Dédale des paroles","Fukushima (version portugaise 2)"
"2015 03 11","1","20. Dédale des actes","Palindrome (danse interactive)"
"2015 03 13","1","60. Dédale des ombres","Barbe Bleue"
"2015 03 13","1","70. Dédale des paroles","Fukushima (version italienne)"
"2015 03 13","1","20. Dédale des actes","Poème Océan"
